EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
9,9,9,9,9,9,9,9,9,10,sajand; kange; autojuht; nurk; mees; piibujutt; mittesuitsetaja; tüdruk; murakas
