EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,6,2,3,2,4,4,3,10,film; loosung; toimetus; saade; režissöör; raadio; fotograaf; buss; kirjandus; televisioon
7,6,7,2,3,2,4,4,3,10,film; loosung; toimetus; saade; režissöör; raadio; fotograaf; buss; kirjandus; televisioon
7,6,7,2,3,3,4,4,3,10,film; loosung; toimetus; saade; režissöör; raadio; fotograaf; buss; kirjandus; televisioon
7,6,7,2,4,4,4,3,3,10,film; loosung; toimetus; saade; režissöör; raadio; fotograaf; buss; kirjandus; televisioon
7,6,6,2,5,4,4,4,3,10,film; loosung; toimetus; saade; režissöör; raadio; fotograaf; buss; kirjandus; televisioon
5,6,5,2,5,5,4,3,3,10,film; loosung; toimetus; saade; režissöör; raadio; fotograaf; buss; kirjandus; televisioon
4,6,5,4,6,4,4,4,3,10,film; loosung; toimetus; saade; režissöör; raadio; fotograaf; buss; kirjandus; televisioon
1,3,5,7,6,4,4,4,6,10,film; loosung; toimetus; saade; raadio; režissöör; fotograaf; buss; kirjandus; televisioon
1,4,3,6,6,5,5,5,6,10,film; loosung; toimetus; saade; raadio; režissöör; fotograaf; buss; kirjandus; televisioon
3,3,4,6,6,6,5,6,5,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
0,3,4,6,7,7,5,7,5,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
