EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,2,1,2,4,5,1,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; hawaii; ujumine; ironman; distants; jooks; triatlon
6,5,5,2,1,2,4,5,1,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; hawaii; ujumine; ironman; distants; jooks; triatlon
6,5,6,2,1,2,4,5,1,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; hawaii; ujumine; ironman; distants; jooks; triatlon
6,5,6,2,1,2,4,5,1,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; hawaii; ujumine; ironman; distants; jooks; triatlon
6,5,7,2,1,2,4,5,1,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; hawaii; ujumine; ironman; distants; jooks; triatlon
7,5,7,2,1,3,3,6,1,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; hawaii; ujumine; ironman; distants; jooks; triatlon
7,3,8,1,1,5,3,5,1,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; ujumine; ironman; distants; jooks; triatlon
1,3,3,6,1,4,3,4,1,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; ujumine; ironman; distants; triatlon
2,4,5,5,3,6,4,5,1,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; ujumine; hawaii; ironman; distants; triatlon
2,6,5,5,3,4,3,3,3,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; ujumine; ironman; distants; jooks; triatlon
4,5,6,5,3,3,1,3,3,12,ratas; juhanson; johanson; sportlane; ain-alar; võistlus; ujumine; hawaii; ironman; distants; jooks; triatlon
