EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,11,8,11,6,12,9,12,6,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
