EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,8,3,7,7,5,7,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,7,7,8,3,7,7,5,7,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,7,7,8,3,7,7,5,7,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,7,7,8,3,7,7,5,6,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,7,7,8,3,7,7,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,7,7,8,3,7,7,5,7,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
8,7,7,8,3,7,7,5,7,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,7,7,6,3,7,8,5,7,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
4,6,7,6,4,7,8,6,7,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
5,6,7,3,5,7,7,6,6,13,luuletaja; isikukultus; autor; reisimine; reaalsus; kannatus; keskpärane; kesk-aasia; tõlge; karantiiniaeg; sissov; diktatuur
4,6,6,5,4,7,7,4,7,13,luuletaja; isikukultus; autor; reisimine; reaalsus; kannatus; keskpärane; kesk-aasia; tõlge; karantiiniaeg; sissov; diktatuur
