EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,6,5,5,5,5,0,12,lahing; nato; sõda; tehnika; muhu; väin; kaitseliit
7,6,6,6,5,5,5,5,0,12,lahing; nato; sõda; tehnika; muhu; väin; kaitseliit
7,6,6,6,5,5,5,4,0,12,lahing; nato; sõda; tehnika; muhu; väin; kaitseliit
7,6,6,6,5,5,6,4,0,12,lahing; nato; sõda; tehnika; muhu; väin; kaitseliit
7,6,6,6,5,6,6,4,0,12,lahing; nato; sõda; tehnika; muhu; väin; kaitseliit
7,6,7,6,5,5,6,5,0,12,lahing; nato; sõda; tehnika; muhu; väin; kaitseliit
6,6,7,7,5,6,7,6,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
5,7,7,7,7,5,7,6,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
5,7,7,7,7,6,7,7,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
5,6,7,7,7,7,7,7,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
5,6,7,7,6,6,7,7,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
