EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,5,8,3,6,3,7,4,5,11,strandberg; füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
