EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,0,1,3,3,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete; kuhjumine
1,2,2,0,1,3,3,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete; kuhjumine
1,2,2,0,1,3,3,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete; kuhjumine
1,2,2,0,1,3,3,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete; kuhjumine
1,2,2,0,1,3,3,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete; kuhjumine
2,2,2,0,1,3,3,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete; kuhjumine
1,2,2,0,1,3,3,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete; kuhjumine
1,2,2,0,1,3,2,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete
3,3,2,1,1,3,3,0,0,12,infoajastu; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
1,3,2,2,1,3,3,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete
1,3,2,2,2,3,3,0,0,12,tavakodanik; infoajastu; euroopa; andmesubjekt; andmete
