EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
1,0,0,1,0,2,2,2,1,12,määrus; lausemall; öeldistäide
