EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,0,0,0,2,2,3,0,12,saal; peaminister; akadeemia
0,1,0,0,0,2,2,3,0,12,saal; peaminister; akadeemia
0,1,0,0,0,2,2,3,0,12,saal; peaminister; akadeemia
0,1,0,0,0,2,2,3,0,12,saal; peaminister; akadeemia
0,1,0,0,0,2,2,3,0,12,saal; peaminister; akadeemia
0,1,0,0,0,2,2,3,0,12,saal; peaminister; akadeemia
0,1,0,0,0,2,2,3,0,12,saal; peaminister; akadeemia
1,1,0,0,0,2,2,3,0,12,saal; peaminister; akadeemia
1,1,0,0,0,2,2,3,0,12,saal; peaminister; akadeemia
1,1,1,0,0,2,2,3,0,12,saal; peaminister; akadeemia
1,1,1,0,0,3,2,3,0,12,saal; peaminister; akadeemia
