EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,1,0,2,1,2,3,0,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,0,1,0,2,1,2,3,0,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,0,1,0,2,1,2,3,0,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,0,1,0,2,1,2,3,0,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,0,1,0,2,1,2,3,0,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,0,1,0,2,1,2,2,0,12,isa; ori; kannatlikkus; vabaks; sõna; jumala
2,0,1,0,2,1,2,2,0,12,isa; ori; kannatlikkus; vabaks; sõna; jumala
2,0,1,0,2,1,2,2,0,12,isa; ori; kannatlikkus; vabaks; sõna; jumala
2,0,1,0,2,1,2,3,0,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,0,1,0,2,1,2,2,0,12,isa; ori; kannatlikkus; vabaks; sõna; jumala
2,0,1,0,2,1,2,2,0,12,isa; ori; kannatlikkus; vabaks; sõna; jumala
