EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
6,6,7,7,5,7,6,8,6,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
