EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
8,8,7,7,7,4,6,4,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
