EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
11,12,4,10,5,5,6,6,7,15,põlendik; jürgens; meesnäitleja; tõnu; piret; peeter; lasmann; kriivan; rõõm; toomas; kadri; enesekindlus
