EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; tõnu; lasmann; piret; peeter; kriivan; rõõm; autasu; toomas; kadri; naissoo
