EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,1,4,4,3,2,3,4,13,kasumi; reguleerimata; masside; maksimeerimine
4,4,1,4,4,3,2,3,4,13,kasumi; reguleerimata; masside; maksimeerimine
4,4,1,4,4,3,2,3,4,13,kasumi; reguleerimata; masside; maksimeerimine
4,4,2,4,4,3,2,3,4,13,kasumi; reguleerimata; masside; maksimeerimine
4,4,2,4,4,3,2,3,4,13,kasumi; reguleerimata; masside; maksimeerimine
4,4,4,4,4,3,2,3,4,13,kasumi; reguleerimata; masside; maksimeerimine
4,4,4,4,4,4,2,4,4,13,kasumi; reguleerimata; masside; maksimeerimine
3,4,4,4,4,4,4,4,4,13,kasumi; reguleerimata; masside; maksimeerimine
3,4,4,4,4,4,3,4,4,13,kasumi; reguleerimata; masside; maksimeerimine
2,4,4,4,4,4,3,4,3,13,kasumi; reguleerimata; masside; maksimeerimine
3,4,4,3,4,4,3,4,4,13,kasumi; reguleerimata; masside; maksimeerimine
