EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
3,3,3,2,1,3,2,3,3,10,september; muusika; tõnis; laul; hommikuinimene
