EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,10,11,8,11,12,12,10,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,11,12,11,8,11,12,12,11,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,10,12,12,9,12,12,12,11,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,10,12,12,10,12,12,12,11,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,12,12,12,10,12,12,12,12,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,11,12,12,12,12,12,12,12,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,12,12,12,12,12,12,12,12,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,12,12,12,12,12,11,12,12,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
12,12,12,12,12,12,11,12,12,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,12,12,12,11,12,12,12,11,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,12,12,12,12,12,12,12,12,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
