EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,6,10,6,7,7,7,8,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; tunnetamine; muusika; vardo
9,6,6,10,6,7,7,7,9,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; tunnetamine; muusika; vardo
9,6,6,10,5,7,7,8,9,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; tunnetamine; muusika; vardo
9,6,6,10,7,7,7,8,10,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; tunnetamine; muusika; vardo
9,8,8,9,7,7,8,9,10,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; tunnetamine; muusika; vardo
10,9,8,9,8,6,8,10,10,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; tunnetamine; muusika; vardo
10,9,9,10,7,9,8,7,9,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; tunnetamine; muusika; vardo
8,8,10,9,10,10,10,9,9,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; tunnetamine; muusika; vardo
7,9,7,9,9,8,11,9,9,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; tunnetamine; muusika; vardo
8,6,7,9,9,10,5,8,10,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; muusika; vardo
8,9,8,9,8,10,6,8,9,13,rumessen; sajand; kunst; jõud; tegutsemine; ümberkujundamine; kontsert; sonaat; vene; muusika; vardo
