EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,8,8,6,8,9,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,8,7,9,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,9,7,9,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,9,7,9,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,9,7,9,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,9,8,9,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
9,10,10,10,8,10,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
9,10,10,10,10,10,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,10,10,10,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
8,10,10,8,10,10,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
8,10,10,8,10,10,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
