EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,2,3,2,3,3,3,2,11,sport; loeng; kihnu; saar; dünaamiline
5,5,2,3,2,3,3,3,2,11,sport; loeng; kihnu; saar; dünaamiline
5,5,3,3,3,3,3,4,2,11,sport; loeng; kihnu; saar; dünaamiline
5,5,4,3,4,3,3,3,2,11,sport; loeng; kihnu; saar; dünaamiline
5,5,3,4,4,3,3,4,2,11,sport; loeng; kihnu; saar; dünaamiline
5,5,5,5,4,3,3,5,3,11,sport; loeng; kihnu; saar; dünaamiline
5,5,5,5,4,5,4,5,4,11,sport; loeng; kihnu; saar; dünaamiline
5,5,5,5,4,5,5,5,4,11,sport; loeng; kihnu; saar; dünaamiline
4,5,5,4,5,4,5,5,5,11,sport; loeng; kihnu; saar; dünaamiline
4,5,5,4,5,5,5,5,5,11,sport; loeng; kihnu; saar; dünaamiline
4,5,5,4,5,5,5,5,5,11,sport; loeng; kihnu; saar; dünaamiline
