EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,9,5,9,8,8,8,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; kontsert; tõnu; partok; publik; laulukonkurss
8,9,8,9,6,9,8,8,8,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; kontsert; tõnu; partok; publik; laulukonkurss
8,9,7,9,6,10,8,8,8,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; kontsert; tõnu; partok; publik; laulukonkurss
9,10,8,9,6,10,8,8,8,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; kontsert; tõnu; partok; publik; laulukonkurss
9,10,9,9,6,10,9,8,8,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; kontsert; tõnu; partok; publik; laulukonkurss
10,10,10,9,7,10,11,9,7,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; tõnu; kontsert; partok; publik; laulukonkurss
10,10,10,10,7,9,11,11,7,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; kontsert; tõnu; publik; partok; laulukonkurss
9,11,8,8,7,9,9,9,8,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; kontsert; tõnu; publik; partok; laulukonkurss
9,9,10,9,9,8,9,9,8,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; tõnu; kontsert; publik; partok; laulukonkurss
8,9,7,8,9,9,9,11,8,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; tõnu; kontsert; publik; partok; laulukonkurss
8,10,10,9,10,6,8,10,8,16,ungari; dirigent; rahvusvaheline; serenaa; kammerkoor; torm; tõnu; kontsert; publik; partok; laulukonkurss
