EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,10,7,5,10,9,10,10,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; keel; islamimaailm; lumi; türgi
11,10,10,6,5,10,10,10,10,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; keel; islamimaailm; lumi; türgi
11,10,10,6,6,9,9,10,10,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; keel; islamimaailm; lumi; türgi
11,10,10,6,6,9,9,10,10,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; keel; islamimaailm; lumi; türgi
10,11,11,6,6,11,9,10,9,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; keel; islamimaailm; lumi; türgi
9,11,11,9,7,9,11,10,9,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; keel; islamimaailm; lumi; türgi
10,11,10,10,8,10,9,10,9,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; keel; islamimaailm; lumi; türgi
10,11,10,10,10,9,11,10,9,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; keel; islamimaailm; lumi; türgi
10,11,10,11,9,9,8,11,9,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; islamimaailm; keel; lumi; türgi
8,9,10,11,8,9,9,10,10,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; keel; islamimaailm; lumi; türgi
9,11,8,10,9,7,7,10,9,13,tsivilisatsioon; orhan; nobel; preemia; euroopa; identiteedikriis; pamuk; kirjanik; islamimaailm; keel; lumi; türgi
