EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,6,9,7,4,5,6,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
8,10,7,9,7,5,6,7,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
8,10,8,9,7,6,7,7,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
9,10,9,9,7,8,8,8,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
8,10,10,9,7,10,9,9,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
7,10,10,9,7,10,10,9,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
8,10,10,10,7,10,10,10,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
9,10,10,9,7,10,10,10,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
8,9,10,9,8,10,10,10,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
9,9,10,9,8,10,10,10,9,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
9,8,10,9,8,9,10,10,9,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
