EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,0,0,0,2,0,1,0,11,rannavalve; meresaade; kiirkaater
0,0,0,0,0,2,0,1,0,11,rannavalve; meresaade; kiirkaater
0,0,0,0,0,2,0,1,0,11,rannavalve; meresaade; kiirkaater
0,0,0,0,0,2,0,1,0,11,rannavalve; meresaade; kiirkaater
0,0,0,0,0,2,0,1,0,11,rannavalve; meresaade; kiirkaater
0,0,1,0,0,2,0,0,0,11,meri; territoriaalvesi; kiirkaater
0,0,1,0,0,0,0,0,0,11,territoriaalvesi
0,0,1,0,0,0,1,0,0,11,territoriaalvesi
0,0,1,0,0,0,1,0,0,11,territoriaalvesi
0,0,1,0,0,0,1,0,0,11,territoriaalvesi
0,0,1,0,0,0,0,0,0,11,territoriaalvesi
