EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,2,0,2,2,2,1,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,2,0,2,2,2,1,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,2,0,2,2,2,1,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,2,0,2,2,2,1,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,2,0,2,2,2,1,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,2,0,2,2,2,1,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,2,0,2,2,2,1,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,2,0,2,2,2,2,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,2,0,2,2,2,2,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,1,0,2,2,2,2,1,15,uus; kanada; trump; aasta; programm; jäähoki
0,2,1,0,2,2,2,2,1,15,uus; kanada; trump; aasta; programm; jäähoki
