EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,1,0,0,0,0,2,1,11,teistmoodi; seadus; alandlikkus; washington
1,0,1,0,0,0,0,2,1,11,teistmoodi; seadus; alandlikkus; washington
1,0,1,0,0,0,0,2,1,11,teistmoodi; seadus; alandlikkus; washington
1,0,1,0,0,0,0,2,1,11,teistmoodi; seadus; alandlikkus; washington
1,0,1,0,0,0,0,2,2,11,seadus; washington; alandlikkus; teistmoodi
1,0,1,0,0,0,0,2,2,11,seadus; washington; alandlikkus; teistmoodi
1,0,1,0,0,0,0,2,2,11,seadus; washington; alandlikkus; teistmoodi
1,0,1,0,0,0,0,2,1,11,teistmoodi; seadus; alandlikkus; washington
1,0,1,0,0,0,0,2,1,11,teistmoodi; seadus; alandlikkus; washington
1,0,1,0,0,0,0,2,2,11,seadus; washington; alandlikkus; teistmoodi
1,0,1,0,0,0,0,2,2,11,seadus; washington; alandlikkus; teistmoodi
