EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,8,10,9,10,10,10,naine; vana; laulusõna; tants; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
10,10,10,10,8,10,10,10,10,10,naine; vana; laulusõna; tants; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
10,10,10,10,8,10,10,10,10,10,naine; vana; laulusõna; tants; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
10,10,10,10,8,10,10,10,10,10,naine; vana; laulusõna; tants; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
10,10,10,10,8,10,10,10,10,10,naine; vana; laulusõna; tants; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
10,10,10,10,8,10,10,10,10,10,naine; vana; laulusõna; tants; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
10,10,10,10,9,10,10,10,10,10,naine; vana; laulusõna; tants; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
10,10,10,10,9,10,10,10,10,10,naine; tants; laulusõna; vana; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
10,10,10,10,9,10,10,10,10,10,naine; tants; laulusõna; vana; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
9,10,10,10,10,10,10,10,10,10,naine; vana; laulusõna; tants; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
9,10,10,10,10,10,10,10,10,10,naine; vana; laulusõna; tants; suvepäev; akordion; noor; lõuna-eesti; pillimäng; pillimees
