EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
9,9,7,8,9,8,8,8,9,10,murakas; sajand; kange; nurk; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
