EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,7,6,4,2,5,4,5,3,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
