EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
10,9,4,11,6,8,5,5,6,16,vahur; tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
