EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,9,8,5,7,5,7,10,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,10,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,10,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,10,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,9,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,10,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,10,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,10,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,9,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,8,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
7,10,9,8,5,7,5,7,9,14,üleliiduline; põlevkivikaevandus; partei; plaan; nõukogu; kommunistlik; liit; kollektiiv; ehitusvalitsus; põlevkivitootja; võti; ehitaja; kohustuseaasta
